Star	Constellation	Right
ascension	Declination	App.
mag.	Distance (ly)	Spectral
type	Brown dwarf	Mass
(MJ)	Radius
(RJ)	Orbital
period
(d)	Semimajor
axis
(AU)	Ecc.	Discovery
year
54 Piscium	Pisces	00h 39m 22s	+21° 15′ 02″	5.88	36.1	K0V	B	53			476		2006
81 Cancri	Cancer	9 h 12 m 14.69s	14°  59 ′  39.6″	6.77	66	L8	CD						
AB Pictoris	Pictor	06h 19s	−58° 03′ 15″	9.16	66.6	K2V	b	13.5			275		2005
CD−33°7795	Hydra	11h 31m 55s	–34° 36′ 17″	11.37	163.08	M1	b	20			100		1998
CT Chamaeleontis	Chamaeleon	11h 04m 09s	–76° 27′ 19″	12.36	538	K7	b	17	2.2		440		2008
Eta Coronae Borealis	Corona Borealis	15h 23m 22.6s	30° 14′ 56″	5.02	58.3	L8	C	63			3600		2010
G 196-3	Ursa Major	10h 04m 22s	+50° 23′ 23″	11.77	50.2	M2.5	b	25			300		1998
GD 165	Boötes	14h 24m 39.144s	9° 17′ 13.98″	14.6	103	D4A+L4	B						1988
Gliese 570	Libra	14h 57m 28s	−21° 24′ 56″	5.64	19.0	K4V+
M1V+M3V	D	52			1500		2000
GU Piscium	Pisces	01h 12m 35.04s	+17° 03′ 55.7″	13.1	155.3	M3V	b	11			2000		2006
HD 89744	Ursa Major	10h 22m 10.56s	+41° 13′ 46.31″	5.74	126.2	F7IV	B						2000
HD 100546	Musca	11h 33m 25s	–70° 11′ 41″	6.70	337.25	B9Vne	b	20			6.5?		2005
HN Pegasi	Pegasus	21h 44m 28.46s	+14° 46′ 7.8″		58.3	T2.5	B	28	1.01		795		2006
LHS 4040 [es]	Sculptor	23 h 54 m 9.28s	－33°  16 ′  26.6″	20.7		M8.5V	C				2200		2004
UScoCTIO 108	Scorpius	16h 05m 54s	–18° 18′ 43″		473	M7	b	14			670		2007
WD 0137-349	Sculptor	01h 39m 43s	−34° 42′ 39″	15.33	330	DA	B	53		0.0803	0.0030	0	2006
HD 41004 B	Pictor	05h 59m 50s	–48° 14′ 23″	12.33	139	M2	b	18.4		1.3283	0.0177	0.081	2004
HD 283750	Taurus	04h 36m 48s	+27° 08′ 00″	8.42	53.81	K2V	b	50		1.79	0.025	0.02	1996
HD 149382	Ophiuchus	16h 34m 23s	−04° 00′ 52″	8.95	241	B5VI	b	15.5		2.391		0	2009[6]
COROT-15	Monoceros	06h 28m 27.81s	+6° 11′ 10.5″	22		F7V	b	63.4	1.12	3.06036	0.045	0	2010
Xi Ursae Majoris B	Ursa Major	11h 18m 12s	+31° 32′ 15″	4.73	25.11	F8.5V	b	37		3.98	0.06	0	1931
Upsilon Andromedae	Andromeda	01h 36m 48s	+41° 24′ 20″	4.63	43.9	F8V	Samh	13.98		237.7	0.822	0.224	1999
Gliese 758	Lyra	19h 23m 34s	+33° 13′ 19″	6.36	51.9	G8V	B	23		96	21		2009
HD 112758	Virgo	12h 59m 03s	–09° 50′ 03″	7.56	53.81	K0V	b	35		103.22	0.35	0.16	1996
BD−04°782	Eridanus	04h 15m 10s	–04° 25′ 06″	9.39	66.6	K5V	b	21		240.92	0.7	0.28	1996
HD 110833	Canes Venatici	12h 44m 16s	+51° 45′ 40″	7.04	55.44	K3V	b	17		270.04	0.8	0.69	1996
HD 89707	Hydra	10h 20m 50s	–15° 28′ 48″	7.19	81.54	G1V	b	54		298.25		0.95	1991
Tau Geminorum	Gemini	07h 11m 08s	+30° 14′ 43″	4.40	302	K2III	b	18.1		305			2004
